"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"20",11,0,0.75,6,0.75,0,1,20,0.1950642,0.00156826469704498,0.2037904,0.0019463180212889
"21",11,0,0.75,6,0.75,0,1,21,0.1930236,0.000996899714113413,0.2023722,0.00107101230618489
"22",11,0,0.75,6,0.75,0,1,22,0.190695,0.00073760612795683,0.2005196,0.000803486303556702
"23",11,0,0.75,6,0.75,0,1,23,0.1891888,0.00099180469851956,0.199405,0.00116372694391863
"24",11,0,0.75,6,0.75,0,1,24,0.1877822,0.00120794675379187,0.1984312,0.00157678094864239
"25",11,0,0.75,6,0.75,0,1,25,0.1867758,0.000994713506493242,0.1977702,0.00144806068933626
"26",11,0,0.75,6,0.75,0,1,26,0.1851128,0.000488276315220237,0.1963602,0.0010346658204468
"27",11,0,0.75,6,0.75,0,1,27,0.1837364,0.0006643386485869,0.1951586,0.00130829638843895
"28",11,0,0.75,6,0.75,0,1,28,0.182151,0.00103614400543492,0.1939102,0.00160677408492884
"29",11,0,0.75,6,0.75,0,1,29,0.1807396,0.00142556130699439,0.192709,0.00196801707309678
"30",11,0,0.75,6,0.75,0,1,30,0.1796318,0.00140494631925804,0.1917862,0.00184524008194067
"31",11,0,0.75,6,0.75,0,1,31,0.1789318,0.00165911439026888,0.1912304,0.00209375916475656
"32",11,0,0.75,6,0.75,0,1,32,0.1775454,0.00169488803170034,0.1899812,0.00217627731688762
"33",11,0,0.75,6,0.75,0,1,33,0.1768384,0.00157890995309934,0.189482,0.00203290580204752
"34",11,0,0.75,6,0.75,0,1,34,0.175745,0.0018526777377607,0.1887024,0.00229621075687854
"35",11,0,0.75,6,0.75,0,1,35,0.174497,0.00180171662588745,0.1878276,0.00231350803759191
"36",11,0,0.75,6,0.75,0,1,36,0.1739252,0.00197780761450645,0.1873878,0.00246965466411866
"37",11,0,0.75,6,0.75,0,1,37,0.1725388,0.00202023081849658,0.1864256,0.00246663492231792
"38",11,0,0.75,6,0.75,0,1,38,0.171715,0.00155404954875995,0.1859606,0.00205872412916355
"39",11,0,0.75,6,0.75,0,1,39,0.1705168,0.00168122805115882,0.1850954,0.00212043491765319
"40",11,0,0.75,6,0.75,0,1,40,0.1696378,0.00145650628560262,0.1843944,0.00201697522047293
"41",11,0,0.75,6,0.75,0,1,41,0.1689272,0.00148568521565009,0.1838766,0.00202644759123092
"42",11,0,0.75,6,0.75,0,1,42,0.1681698,0.0013223357213644,0.1833242,0.00186984784407746
"43",11,0,0.75,6,0.75,0,1,43,0.1673202,0.00150029095844829,0.1826654,0.00207024216940849
"44",11,0,0.75,6,0.75,0,1,44,0.1661768,0.00160222537740622,0.1818158,0.00205484864649536
"45",11,0,0.75,6,0.75,0,1,45,0.1653826,0.00162529204760373,0.1814976,0.00232042328897195
"46",11,0,0.75,6,0.75,0,1,46,0.1645992,0.00140841036633533,0.180812,0.00206139884544453
"47",11,0,0.75,6,0.75,0,1,47,0.1635602,0.00174125074587251,0.1803762,0.00232656024207275
"48",11,0,0.75,6,0.75,0,1,48,0.1628326,0.00194074301235342,0.1799784,0.0025451960710322
"49",11,0,0.75,6,0.75,0,1,49,0.1616888,0.00222933545255087,0.1791498,0.00253787347202378
"50",11,0,0.75,6,0.75,0,1,50,0.1608248,0.00231429275589839,0.1784148,0.0025857730294822
"51",11,0,0.75,6,0.75,0,1,51,0.160209,0.00207324624683236,0.1779586,0.00221999095493638
"52",11,0,0.75,6,0.75,0,1,52,0.1595328,0.00175875380880806,0.1775324,0.00185253454488677
"53",11,0,0.75,6,0.75,0,1,53,0.1589186,0.00162084787688488,0.1771624,0.0017153438838906
"54",11,0,0.75,6,0.75,0,1,54,0.1583532,0.00182766336068817,0.176825,0.00184187936629761
"55",11,0,0.75,6,0.75,0,1,55,0.1578602,0.00182194065765025,0.1765316,0.0019046348311432
"56",11,0,0.75,6,0.75,0,1,56,0.1573278,0.00191660349577164,0.176267,0.00192260365130116
"57",11,0,0.75,6,0.75,0,1,57,0.1570178,0.00177512471674495,0.1761562,0.00170996191770356
"58",11,0,0.75,6,0.75,0,1,58,0.1565966,0.0017858185350145,0.1758386,0.0017054736116407
"59",11,0,0.75,6,0.75,0,1,59,0.1561156,0.00198929320111472,0.1754812,0.00183661693338654
