"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"94",12,0.1,0.5,1,0.5,0,1,"hist",14,0.1802818,0.00365258945954836,0.1979218,0.00301836945386004,2
"95",12,0.1,0.5,1,0.5,0,1,"hist",15,0.1783892,0.00380686361195208,0.1967296,0.00295220321793806,2
"96",12,0.1,0.5,1,0.5,0,1,"hist",16,0.1764664,0.00352366704442963,0.1955176,0.00309719722329854,2
"97",12,0.1,0.5,1,0.5,0,1,"hist",17,0.1746432,0.00327844008028203,0.1945392,0.00270911272559858,2
"98",12,0.1,0.5,1,0.5,0,1,"hist",18,0.1728934,0.00322835379721603,0.1936486,0.00249327556439359,2
"99",12,0.1,0.5,1,0.5,0,1,"hist",19,0.1701582,0.00151843450961667,0.1919674,0.00183490442257834,2
"100",12,0.1,0.5,1,0.5,0,1,"hist",20,0.167893,0.00108075214549599,0.1908682,0.00180196330706414,2
"101",12,0.1,0.5,1,0.5,0,1,"hist",21,0.1654866,0.00097049360636447,0.1893188,0.00148246934538384,2
"102",12,0.1,0.5,1,0.5,0,1,"hist",22,0.163437,0.000884308769604059,0.1884994,0.00173584107567428,2
"103",12,0.1,0.5,1,0.5,0,1,"hist",23,0.1619746,0.00087972804888769,0.1877806,0.00199853572397593,2
"104",12,0.1,0.5,1,0.5,0,1,"hist",24,0.160394,0.00145515841061947,0.1868556,0.00226906065145793,2
"105",12,0.1,0.5,1,0.5,0,1,"hist",25,0.1583696,0.00153709239800437,0.1854796,0.00196390066958509,2
"106",12,0.1,0.5,1,0.5,0,1,"hist",26,0.1566218,0.00142776992544292,0.1850196,0.00201758782708533,2
"107",12,0.1,0.5,1,0.5,0,1,"hist",27,0.155134,0.00169928996937,0.1843972,0.00229581544554479,2
"108",12,0.1,0.5,1,0.5,0,1,"hist",28,0.1537664,0.00165602012065108,0.1836574,0.00213494043008258,2
"109",12,0.1,0.5,1,0.5,0,1,"hist",29,0.1522616,0.00142233998748503,0.1826676,0.00197823038092165,2
"110",12,0.1,0.5,1,0.5,0,1,"hist",30,0.1506978,0.00132798123480823,0.181629,0.0016580020506642,2
"111",12,0.1,0.5,1,0.5,0,1,"hist",31,0.1493052,0.00136302302255028,0.1811774,0.00134581612414037,2
"112",12,0.1,0.5,1,0.5,0,1,"hist",32,0.14846,0.00169908622500334,0.1808974,0.00169777107997422,2
"113",12,0.1,0.5,1,0.5,0,1,"hist",33,0.1474676,0.00154793353862311,0.1808782,0.00156687171140465,2
"114",12,0.1,0.5,1,0.5,0,1,"hist",34,0.1467236,0.00156316788605526,0.1806822,0.00171714546850346,2
"115",12,0.1,0.5,1,0.5,0,1,"hist",35,0.1457826,0.00152333037782516,0.1805734,0.0017714607080027,2
"116",12,0.1,0.5,1,0.5,0,1,"hist",36,0.1448964,0.00149606585416451,0.1802684,0.00176259860433398,2
"117",12,0.1,0.5,1,0.5,0,1,"hist",37,0.1438264,0.00145103860734359,0.1801778,0.00170558041733614,2
"118",12,0.1,0.5,1,0.5,0,1,"hist",38,0.1429664,0.00165054931462308,0.180005,0.00147726463438584,2
"119",12,0.1,0.5,1,0.5,0,1,"hist",39,0.1417306,0.00173627067014271,0.1794424,0.00151153320836676,2
"120",12,0.1,0.5,1,0.5,0,1,"hist",40,0.1407668,0.00166588863973517,0.1792794,0.00119857258436597,2
"121",12,0.1,0.5,1,0.5,0,1,"hist",41,0.139617,0.00150033876174836,0.1786714,0.000982337742325396,2
"122",12,0.1,0.5,1,0.5,0,1,"hist",42,0.1387366,0.00108204040590161,0.1783284,0.00137794188556523,2
"123",12,0.1,0.5,1,0.5,0,1,"hist",43,0.1378018,0.00110587185514338,0.1781378,0.00120157120471111,2
"124",12,0.1,0.5,1,0.5,0,1,"hist",44,0.13668,0.000845843484339348,0.1776268,0.00123046778096835,2
"125",12,0.1,0.5,1,0.5,0,1,"hist",45,0.1357712,0.000895390283620227,0.1775372,0.00173939902265204,2
"126",12,0.1,0.5,1,0.5,0,1,"hist",46,0.1348734,0.00100293022688423,0.177253,0.0016153300591527,2
"127",12,0.1,0.5,1,0.5,0,1,"hist",47,0.1342148,0.000915996812221615,0.1774938,0.00164702002416472,2
"128",12,0.1,0.5,1,0.5,0,1,"hist",48,0.133694,0.000754845679592313,0.1774402,0.00164024722526873,2
"129",12,0.1,0.5,1,0.5,0,1,"hist",49,0.133355,0.000694003458202112,0.1774282,0.00152890829025134,2
"130",12,0.1,0.5,1,0.5,0,1,"hist",50,0.1324734,0.000787144357790951,0.1775346,0.00114936288438302,2
"131",12,0.1,0.5,1,0.5,0,1,"hist",51,0.131823,0.000997258040832121,0.1773742,0.00134160700654131,2
"132",12,0.1,0.5,1,0.5,0,1,"hist",52,0.1309812,0.0011245588290533,0.1771816,0.00117065410775465,2
"133",12,0.1,0.5,1,0.5,0,1,"hist",53,0.130389,0.000840373012416834,0.1772402,0.000927517848888386,2
"134",12,0.1,0.5,1,0.5,0,1,"hist",54,0.1297504,0.00107423193026365,0.1769764,0.000902713819545775,2
"135",12,0.1,0.5,1,0.5,0,1,"hist",55,0.1290814,0.00116511915270478,0.1769874,0.000734055747201862,2
