"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","alpha","lamda","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std","model"
"21",12,0.2,1,1,1,4,1,"hist",0,0,21,0.1435914,0.00523857303471088,0.1719856,0.00190486341767462,1
"22",12,0.2,1,1,1,4,1,"hist",0,0,22,0.140984,0.00460025551464246,0.1704496,0.00145546385733257,1
"23",12,0.2,1,1,1,4,1,"hist",0,0,23,0.139429,0.00440134656667701,0.1695758,0.00115535940728426,1
"24",12,0.2,1,1,1,4,1,"hist",0,0,24,0.1375002,0.00432475920254559,0.1686,0.00130373325492504,1
"25",12,0.2,1,1,1,4,1,"hist",0,0,25,0.1356832,0.0044025139363774,0.1675532,0.0015038854211682,1
"26",12,0.2,1,1,1,4,1,"hist",0,0,26,0.13374,0.00419667697112861,0.1667852,0.00156114014745727,1
"27",12,0.2,1,1,1,4,1,"hist",0,0,27,0.1315912,0.00417164731970513,0.16564,0.00131815856405769,1
"28",12,0.2,1,1,1,4,1,"hist",0,0,28,0.1299546,0.00425290933832332,0.1650492,0.00168895806934293,1
"29",12,0.2,1,1,1,4,1,"hist",0,0,29,0.1284056,0.004234618688855,0.164394,0.00204470252114964,1
"30",12,0.2,1,1,1,4,1,"hist",0,0,30,0.1269004,0.00407519975461332,0.1636298,0.00197721697342555,1
"31",12,0.2,1,1,1,4,1,"hist",0,0,31,0.1252224,0.00381125945587517,0.1625612,0.00190754243989497,1
"32",12,0.2,1,1,1,4,1,"hist",0,0,32,0.1231572,0.00380373345017748,0.1617926,0.00184594979346613,1
"33",12,0.2,1,1,1,4,1,"hist",0,0,33,0.1215496,0.00349562049427547,0.160811,0.001170266294481,1
"34",12,0.2,1,1,1,4,1,"hist",0,0,34,0.1204674,0.00311110569412222,0.1603442,0.00127043872737058,1
"35",12,0.2,1,1,1,4,1,"hist",0,0,35,0.1194054,0.00293470902135134,0.1605026,0.0011189263782756,1
"36",12,0.2,1,1,1,4,1,"hist",0,0,36,0.118254,0.00268325861593731,0.1596448,0.00100668135971667,1
"37",12,0.2,1,1,1,4,1,"hist",0,0,37,0.1165342,0.00255391436034943,0.1588716,0.0012057625968664,1
"38",12,0.2,1,1,1,4,1,"hist",0,0,38,0.1149374,0.00246225608741281,0.1581064,0.00115066547701793,1
"39",12,0.2,1,1,1,4,1,"hist",0,0,39,0.1137162,0.00254354834040899,0.1576852,0.00117894434134989,1
"40",12,0.2,1,1,1,4,1,"hist",0,0,40,0.1124632,0.00248020921698175,0.1573412,0.00135141013759806,1
"41",12,0.2,1,1,1,4,1,"hist",0,0,41,0.1116614,0.0023736969140981,0.1570592,0.00133997005936748,1
"42",12,0.2,1,1,1,4,1,"hist",0,0,42,0.1109874,0.00259933473027223,0.1568058,0.00123071205405538,1
"43",12,0.2,1,1,1,4,1,"hist",0,0,43,0.1102328,0.00230380879414963,0.1568494,0.00117578239483408,1
"44",12,0.2,1,1,1,4,1,"hist",0,0,44,0.1091956,0.00202631494097029,0.1566832,0.000958485764110139,1
"45",12,0.2,1,1,1,4,1,"hist",0,0,45,0.1080064,0.00169090491749198,0.1559338,0.00115953946030052,1
"46",12,0.2,1,1,1,4,1,"hist",0,0,46,0.1070858,0.00149676229241597,0.1557058,0.0011439929020744,1
"47",12,0.2,1,1,1,4,1,"hist",0,0,47,0.1062836,0.0014550659916312,0.1555312,0.00100222101354899,1
"48",12,0.2,1,1,1,4,1,"hist",0,0,48,0.1056614,0.00156241282636783,0.155434,0.000895099547538499,1
"49",12,0.2,1,1,1,4,1,"hist",0,0,49,0.1049932,0.0017721490230797,0.1552192,0.000873496742979401,1
"50",12,0.2,1,1,1,4,1,"hist",0,0,50,0.1043484,0.00187625505728878,0.155035,0.000936196774185055,1
"51",12,0.2,1,1,1,4,1,"hist",0,0,51,0.1035462,0.00200970658554909,0.1546892,0.000930533266466774,1
