"","max_depth","gamma","colsample_bytree","min_child_weight","subsample","max_delta_step","eta","tree_method","iter","train_rmse_mean","train_rmse_std","test_rmse_mean","test_rmse_std"
"91",3,0,1,1,1,0,1,"hist",11,0.2536752,0.000980144356716035,0.2543748,0.00102304690019811
"92",3,0,1,1,1,0,1,"hist",12,0.2523686,0.000945117050953172,0.2530348,0.00124201793867931
"93",3,0,1,1,1,0,1,"hist",13,0.251213,0.00100081566734063,0.2519184,0.00116604041096656
"94",3,0,1,1,1,0,1,"hist",14,0.250194,0.00109355640000412,0.2509342,0.00126377346071546
"95",3,0,1,1,1,0,1,"hist",15,0.2493838,0.00118134861916324,0.2502476,0.00145744249972152
"96",3,0,1,1,1,0,1,"hist",16,0.2484422,0.00121144762990246,0.249323,0.00125637239701862
"97",3,0,1,1,1,0,1,"hist",17,0.2476274,0.00116265448005833,0.2485418,0.00127387431090983
"98",3,0,1,1,1,0,1,"hist",18,0.2467496,0.0013256827071372,0.2476998,0.00119029566074994
"99",3,0,1,1,1,0,1,"hist",19,0.2459406,0.00126247385715379,0.246863,0.00118023607808042
"100",3,0,1,1,1,0,1,"hist",20,0.245117,0.00109000605503094,0.2462022,0.000951262613581334
"101",3,0,1,1,1,0,1,"hist",21,0.2443944,0.00121504001580147,0.2455372,0.000929316393911126
"102",3,0,1,1,1,0,1,"hist",22,0.243436,0.00117776890772204,0.244651,0.00116554073287518
"103",3,0,1,1,1,0,1,"hist",23,0.2426984,0.00133312679066636,0.2439074,0.00114908774251742
"104",3,0,1,1,1,0,1,"hist",24,0.2416594,0.0010480997280814,0.2427746,0.00144484803352893
"105",3,0,1,1,1,0,1,"hist",25,0.2411774,0.0010059209909358,0.2423616,0.00169712835106616
"106",3,0,1,1,1,0,1,"hist",26,0.2404396,0.000927900555017262,0.2416904,0.00157923280107929
"107",3,0,1,1,1,0,1,"hist",27,0.2399042,0.000808295589491616,0.241115,0.00148335363281884
"108",3,0,1,1,1,0,1,"hist",28,0.2393356,0.000799272819503494,0.2405712,0.00144574484609518
"109",3,0,1,1,1,0,1,"hist",29,0.2388556,0.000885017197572873,0.2401676,0.0014304384782277
"110",3,0,1,1,1,0,1,"hist",30,0.2384504,0.000869381757342674,0.239783,0.00145365511728297
"111",3,0,1,1,1,0,1,"hist",31,0.2378068,0.000698852030115236,0.2391552,0.00110713077818224
"112",3,0,1,1,1,0,1,"hist",32,0.2372928,0.000691137728677173,0.2386564,0.00121272809813666
"113",3,0,1,1,1,0,1,"hist",33,0.236873,0.00060448622812755,0.2383044,0.00125518852767008
"114",3,0,1,1,1,0,1,"hist",34,0.2364724,0.000699709253903651,0.2378856,0.00123785388475407
"115",3,0,1,1,1,0,1,"hist",35,0.2359414,0.000790513655798533,0.2373592,0.00125759300252528
"116",3,0,1,1,1,0,1,"hist",36,0.2355358,0.00073570303792084,0.2369062,0.0012108615775596
"117",3,0,1,1,1,0,1,"hist",37,0.235022,0.000720118879071357,0.2364542,0.00116776545590594
"118",3,0,1,1,1,0,1,"hist",38,0.234664,0.00074016241460653,0.23613,0.00128860715503068
"119",3,0,1,1,1,0,1,"hist",39,0.234245,0.000731859549363012,0.2357264,0.00142377675216371
"120",3,0,1,1,1,0,1,"hist",40,0.2338298,0.000597349612874209,0.2353716,0.00136721272668085
"121",3,0,1,1,1,0,1,"hist",41,0.2334438,0.000602100788901135,0.2350278,0.00146814269061245
"122",3,0,1,1,1,0,1,"hist",42,0.2330452,0.000559115515793673,0.2346396,0.00143259549070838
"123",3,0,1,1,1,0,1,"hist",43,0.2326278,0.000489354431882907,0.2342624,0.00133971797031941
"124",3,0,1,1,1,0,1,"hist",44,0.2322064,0.000593723369924813,0.2339448,0.00152632085748631
"125",3,0,1,1,1,0,1,"hist",45,0.2316978,0.000746455732107551,0.2334478,0.00149038215233353
"126",3,0,1,1,1,0,1,"hist",46,0.231296,0.00073135709471894,0.2330486,0.0014781199680699
"127",3,0,1,1,1,0,1,"hist",47,0.2309444,0.000723739345352016,0.2327598,0.00139829544803916
